CODE,DESC,TU1CODE,TU1DESC,TU2CODE,TU2DESC,TU3CODE,TU3DESC,,,
030403,Caring For & Helping Household (HH) Members - Caring For Household Adults - Providing medical care to hh adult,03,Caring For & Helping Household (HH) Members,04,Caring For Household Adults,03,Providing medical care to hh adult,,,Caring For & Helping Household (HH) Members - Caring For Household Adults - Providing medical care to hh adult
030404,Caring For & Helping Household (HH) Members - Caring For Household Adults - Obtaining medical and care services for hh adult,03,Caring For & Helping Household (HH) Members,04,Caring For Household Adults,04,Obtaining medical and care services for hh adult,,,Caring For & Helping Household (HH) Members - Caring For Household Adults - Obtaining medical and care services for hh adult
030405,Caring For & Helping Household (HH) Members - Caring For Household Adults - Waiting associated with caring for household adults,03,Caring For & Helping Household (HH) Members,04,Caring For Household Adults,05,Waiting associated with caring for household adults,,,Caring For & Helping Household (HH) Members - Caring For Household Adults - Waiting associated with caring for household adults
030499,"Caring For & Helping Household (HH) Members - Caring For Household Adults - Caring for household adults, n.e.c.* ",03,Caring For & Helping Household (HH) Members,04,Caring For Household Adults,99,"Caring for household adults, n.e.c.* ",,,"Caring For & Helping Household (HH) Members - Caring For Household Adults - Caring for household adults, n.e.c.* "
030501,Caring For & Helping Household (HH) Members - Helping Household Adults - Helping hh adults,03,Caring For & Helping Household (HH) Members,05,Helping Household Adults,01,Helping hh adults,,,Caring For & Helping Household (HH) Members - Helping Household Adults - Helping hh adults
030502,Caring For & Helping Household (HH) Members - Helping Household Adults - Organization & planning for hh adults,03,Caring For & Helping Household (HH) Members,05,Helping Household Adults,02,Organization & planning for hh adults,,,Caring For & Helping Household (HH) Members - Helping Household Adults - Organization & planning for hh adults
030503,Caring For & Helping Household (HH) Members - Helping Household Adults - Picking up/dropping off hh adult,03,Caring For & Helping Household (HH) Members,05,Helping Household Adults,03,Picking up/dropping off hh adult,,,Caring For & Helping Household (HH) Members - Helping Household Adults - Picking up/dropping off hh adult
030504,Caring For & Helping Household (HH) Members - Helping Household Adults - Waiting associated with helping hh adults,03,Caring For & Helping Household (HH) Members,05,Helping Household Adults,04,Waiting associated with helping hh adults,,,Caring For & Helping Household (HH) Members - Helping Household Adults - Waiting associated with helping hh adults
030599,"Caring For & Helping Household (HH) Members - Helping Household Adults - Helping household adults, n.e.c.*",03,Caring For & Helping Household (HH) Members,05,Helping Household Adults,99,"Helping household adults, n.e.c.*",,,"Caring For & Helping Household (HH) Members - Helping Household Adults - Helping household adults, n.e.c.*"
039999,"Caring For & Helping Household (HH) Members - Caring For & Helping HH Members, n.e.c.* - Caring For & Helping HH Members, n.e.c.*",03,Caring For & Helping Household (HH) Members,99,"Caring For & Helping HH Members, n.e.c.*",99,"Caring For & Helping HH Members, n.e.c.*",,,"Caring For & Helping Household (HH) Members - Caring For & Helping HH Members, n.e.c.* - Caring For & Helping HH Members, n.e.c.*"
